	business_id	name	neighborhood	address	city	state	postal_code	latitude	longitude	stars	review_count	is_open	categories
42843	xXZw2v10FbaqRiibXhAhlg	"""Fanucce's Italian Imports and Pizzeria"""	Campus District	"""2032 Euclid Ave"""	Cleveland	OH	44115	41.5013865	-81.6759948	3.5	24	0	Italian;Pizza;Restaurants
42847	MJXN25eWW0U4E5aVUlAFCw	"""Ming Moon"""	Jefferson	"""3786 W 117th St"""	Cleveland	OH	44111	41.4500459	-81.7694861	3.0	9	1	Restaurants;Chinese
42851	8pSKJ_qRUotjFl_bjH_GQA	"""The Cornerstone Brewing Company"""		"""58 Front St"""	Berea	OH	44017	41.366919	-81.852683	4.0	120	1	Food;American (New);Restaurants;Breweries
42876	mA9cKhzB6OGue-LOeTdqlw	"""Sky Zone Trampoline Park"""		"""31500 Viking Pkwy"""	Westlake	OH	44145	41.471034	-81.9668493	3.0	25	1	Active Life;Event Planning & Services;Trampoline Parks
42898	UT7I809RZYVsRzUUsCDTbQ	"""Mixed Greens"""	Tower City	"""230 W Huron Rd"""	Cleveland	OH	44113	41.4979271	-81.6935181	3.5	9	0	Fast Food;Sandwiches;Restaurants;Salad
42901	AN4c1ktNVhQ6JjzeEvjcYA	"""Lulus Yogurt With A Twist"""		"""56 Library St"""	Hudson	OH	44236	41.2405959	-81.443314	3.5	19	1	Ice Cream & Frozen Yogurt;Food
42902	kYxnRLO3e1dNcB8S1TmlXA	"""The Wine Bar at Solaire"""		"""111 First St"""	Hudson	OH	44236	41.242179	-81.4419988	4.0	11	1	Wine Bars;Bars;American (New);Hotels & Travel;Mediterranean;Hair Salons;Restaurants;Beauty & Spas;Hotels;Event Planning & Services;Nightlife
42954	QgrxN-PyUWaIab41-RrTwg	"""Au Bon Pain"""	Gateway District	"""200 Public Sq"""	Cleveland	OH	44114	41.4997693649	-81.6923345996	3.0	6	1	Restaurants;Fast Food
42971	ki7o5wNboK3WDGiwTYWZfw	"""Bloodview"""		"""1010 Towpath Trl"""	Broadview Heights	OH	44147	41.292032	-81.678108	4.0	4	1	Performing Arts;Arts & Entertainment
42989	zW2Nzu38bB5nlOhhim-O5A	"""Hiroshi's Pub"""		"""3365 Richmond Rd, Bldg B"""	Beachwood	OH	44122	41.465539	-81.4953911	3.0	12	0	American (New);Nightlife;Bars;Restaurants;Pubs
43014	4E2OpiDuXStVYvcdce7wuA	"""Sunrise Bakery"""		"""6554 Brecksville Rd"""	Independence	OH	44131	41.3839813349	-81.6415071487	4.0	7	0	Bakeries;Breakfast & Brunch;Food;Restaurants
43051	KT1GhAuj-_6o6EhN9dbOGg	"""Carol Martin Salon Spa"""		"""137 East Ave, Ste 105"""	Tallmadge	OH	44278	41.1018824752	-81.4353057225	5.0	18	1	Hair Salons;Beauty & Spas;Makeup Artists;Massage;Nail Salons
43059	DBnLtge5LRkLzVqJFspfMQ	"""Scramblers"""		"""9570 Mentor Ave"""	Mentor	OH	44060	41.6821442302	-81.2962253054	3.0	44	1	Restaurants;Breakfast & Brunch;Diners;American (Traditional)
43073	nyYDJbLS1eA9mLHZkrmtPA	"""Starbucks"""		"""3899 Medina Rd"""	Fairlawn	OH	44333	41.1365725	-81.6397107	4.0	4	1	Food;Coffee & Tea
43096	3chd-CjwQz7Pap_MQEWhWg	"""Little Shop of Cookies"""	Gateway District	"""530 Euclid Ave, Ste 15"""	Cleveland	OH	44115	41.4991795	-81.689137	5.0	8	1	Food;Specialty Food;Bakeries
43121	Ksk5cLav4OtbUtpRGp5b4g	"""India's Cafe & Kitchen"""		"""5549 Ridge Rd"""	Cleveland	OH	44129	41.4104821	-81.7344754	4.0	16	1	Restaurants;Indian
43126	MFzsoiBcZB1NOG1H_0L6oQ	"""CVS Pharmacy"""		"""11706 Clifton Blvd"""	Cleveland	OH	44107	41.4881764	-81.7694099	3.0	12	1	Drugstores;Shopping
43169	H3s8-8HdrZen0BpzMWvlhw	"""Red Robin Gourmet Burgers"""		"""4009 Orange Place"""	Orange Village	OH	44122	41.451705	-81.4888493	2.0	39	0	Burgers;Restaurants;Sandwiches;American (Traditional)
43177	C3BBQ9IGQoPmV41033BoSg	"""Visionworks"""		"""26300 Cedar Rd, Ste 2005"""	Beachwood	OH	44122	41.4985554	-81.4943391	3.5	3	1	Health & Medical;Shopping;Professional Services;Optometrists;Eyewear & Opticians
43236	J2eaZ4o8btjeoTIoAfDqaw	"""East of Chicago Pizza"""		"""307 S Court St"""	Medina	OH	44256	41.1355672	-81.8643042	3.0	4	1	Restaurants;Pizza
43237	b8HHE-JcnkXyS0Wjp50wFw	"""Guys Pizza"""		"""1909 Bailey Rd"""	Cuyahoga Falls	OH	44221	41.1323683	-81.4654989	2.5	18	1	Burgers;American (Traditional);Restaurants;Pizza;Chicken Wings
43243	r1IUMUWSMCCoNpHKLsaAoA	"""Central Cadillac"""	Campus District	"""2801 Carnegie Ave"""	Cleveland	OH	44115	41.5004085	-81.6684787	3.5	8	1	Car Dealers;Tires;Hotels & Travel;Auto Repair;Car Rental;Body Shops;Automotive
43252	MFp1rDEL_Fuj5iB0cevHUQ	"""Hertz Rent A Car"""		"""5411 Brookpark Rd"""	Parma	OH	44130	41.418434	-81.723575	1.0	13	1	Hotels & Travel;Car Rental
43271	tIG4CthhLdIim_qw4fvhxw	"""Big Star Pizza"""		"""1372 S Cleveland Massillon Rd"""	Copley	OH	44321	41.100805	-81.645297	4.0	23	1	Pizza;Restaurants
43286	voEuw3Nl0zbG_QYoFjBYFQ	"""Nature's Oasis"""		"""15613 Detroit Ave"""	Lakewood	OH	44107	41.4849589	-81.8065915	5.0	37	1	Cafes;Specialty Food;Restaurants;Health Markets;Grocery;Food
43291	JsFTgZEGe3xuTMdJQgx2Eg	"""Max & Erma's"""		"""30105 Detroit Rd"""	Westlake	OH	44145	41.46284	-81.9532672	2.5	24	0	American (Traditional);Restaurants;American (New)
43293	8C65DwwnazwYB2z9naHyaw	"""Golden Mountain"""		"""27910 Chardon Rd"""	Willoughby Hills	OH	44092	41.5823398	-81.4842591	3.5	18	1	Restaurants;American (New);Chinese
43299	XePQAA4zCaa9_P6DoueznA	"""Whole Body Health"""		"""4483 Weymouth Rd"""	Medina	OH	44256	41.152813	-81.8322	4.0	5	1	Chiropractors;Health & Medical;Nutritionists
43335	pN3UbQ1n4WVli-kfFDfWug	"""Fabios Pizza"""	Clark-Fulton	"""4203 Clark Ave"""	Cleveland	OH	44109	41.4694832	-81.7145887	2.0	21	1	Restaurants;Pizza
43342	XaGSUgVw8_tqDU4HlCgj8Q	"""The Great Escape"""		"""25450 Lorain Rd"""	North Olmsted	OH	44070	41.423779	-81.9029033	2.0	4	0	Furniture Stores;Outdoor Furniture Stores;Shopping;Pool & Billiards;Home & Garden
43365	LN1_wzxb0nmhuaFt6wQ8sQ	"""Two Bucks"""		"""1637 Golden Gate Plz"""	Mayfield Heights	OH	44124	41.5162641806	-81.4507098656	2.5	34	0	Restaurants;American (New);Bars;Nightlife
43392	wdYEC6DIO6O4d-ouB72x9g	"""Dunkin' Donuts"""		"""5790 Mayfield Rd"""	Cleveland	OH	44124	41.5195996	-81.4707295	3.0	8	1	Donuts;Coffee & Tea;Food
43404	3VrNGACaUChnGD-Rw2NalQ	"""Rocksolid Stone Works"""	Jefferson	"""4031 West 150th St"""	Cleveland	OH	44135	41.4448372354	-81.8002804902	3.0	5	1	Home & Garden;Home Services;Kitchen & Bath;Countertop Installation;Building Supplies;Shopping
43418	HU2OYDMbSRCBQeNK7-DoTQ	"""Re/Dress"""	Tremont	"""2678 W 14th St"""	Cleveland	OH	44113	41.475771	-81.691621	5.0	5	0	Plus Size Fashion;Fashion;Used;Vintage & Consignment;Shopping
43463	S3w4Pw1wSpYkICvtJAzG8A	"""D'Agnese's Italian Restaurant"""		"""1100 W Royalton Rd"""	Broadview Heights	OH	44147	41.3147843917	-81.6870606471	4.0	67	1	Bars;Italian;Restaurants;Nightlife
43466	3F72sDvDY7G_7TsZzR0APQ	"""Huntington Barber Shop"""	Playhouse Square	"""925 Euclid Ave, Ste 1014"""	Cleveland	OH	44115	41.5009682	-81.6866102	4.0	5	1	Beauty & Spas;Barbers
43479	HnJTQIBIuRhR9k3dGuQTuw	"""Beachcliff Dental Associates of Rocky River"""		"""19111 Detroit Rd, Ste 204"""	Rocky River	OH	44116	41.4821548462	-81.8336410522	5.0	7	1	Health & Medical;Dentists
43488	FhorgXn87xro7G9m-fXIwA	"""Longo's Italian Restaurant"""		"""7314 Lakeshore Blvd"""	Mentor	OH	44060	41.7000775	-81.3788523	3.5	15	1	Sandwiches;Pizza;Italian;Restaurants
43528	l44E5TrKTo9U8xWIbSORjA	"""Fosters Tavern of Hinckley"""		"""1368 Ridge Rd"""	Hinckley	OH	44233	41.239174	-81.745525	3.5	15	1	Nightlife;Burgers;Restaurants;Bars;Pizza
43548	J4h3IP8lYBW82gr2SGeV2A	"""Manchu Wok"""	Riverside	"""5300 Riverside Dr"""	Cleveland	OH	44135	41.4106123	-81.838659	2.0	4	0	Chinese;Restaurants
43566	sl0-NOGcev1L77u8jpJfGg	"""Value World"""		"""11900 Detroit Ave"""	Lakewood	OH	44107	41.484255	-81.771821	3.0	13	1	Thrift Stores;Department Stores;Shopping;Fashion;Used;Vintage & Consignment
43585	Tq2XrIBfKRIZVw0pwj60tQ	"""Posche Paws Pet Resort"""		"""3712 Commerce Dr"""	Copley	OH	44321	41.106618515	-81.6504782686	3.0	6	0	Pet Groomers;Pets;Pet Training;Pet Sitting;Pet Services
43588	-bu1imZrNNcACAeGfb6psg	"""Baymont Inn And Suites Hudson"""		"""6731 Industrial Parkway"""	Hudson	OH	44236	41.2637125	-81.501278	2.0	13	1	Hotels & Travel;Hotels;Event Planning & Services
43607	V3Hz6fC1w4TQJj-PkXMiRw	"""Tower City Center"""	Tower City	"""230 W Huron Rd"""	Cleveland	OH	44113	41.4969048	-81.6936185	2.5	86	1	Shopping Centers;Shopping
43611	ESR-aQJX2IoQEPvvF1pmyw	"""Pinzone's Market Fresh Meats"""		"""6046 Broadview Rd"""	Cleveland	OH	44134	41.3990745	-81.6896187	5.0	4	1	Specialty Food;Food;Meat Shops
43642	EAKw8-okLnWQxSIdTyjZdQ	"""Aldi"""	Cascade Crossing	"""5170 Tiedeman Rd"""	Brooklyn	OH	44144	41.4191771102	-81.7581218854	4.5	3	1	Imported Food;Food;Grocery;Ethnic Food;Beer;Wine & Spirits;Specialty Food
43653	pGu7YwnkIueer-3r3pkQdg	"""Rascal House"""	Campus District	"""1836 Euclid Ave"""	Cleveland	OH	44115	41.5011247	-81.6779443	3.0	38	1	Food;Sandwiches;Breakfast & Brunch;Food Delivery Services;Restaurants;Pizza;Fast Food;Chicken Wings
43675	W1CeCtxlHIzrOrDYXX4rZg	"""Matina's Bridal"""		"""28601 Chagrin Blvd"""	Beachwood	OH	44122	41.4632992	-81.4766241	2.5	7	1	Shopping;Women's Clothing;Accessories;Formal Wear;Fashion;Shoe Stores;Bridal
43691	xxA7pjV3AEmoAamUz58eow	"""Cruel Vice Custom Tattoo"""		"""4050 Erie St Upstairs, Ste 207"""	Willoughby	OH	44094	41.6330982314	-81.4065011	5.0	6	1	Local Services;Piercing;Tattoo;Arts & Entertainment;Shopping;Beauty & Spas;Art Galleries
43697	GdTK0lZkITpw89uVuNqXqg	"""Just Like Mom's Restaurant"""	Goodrich Kirtland	"""3030 Superior Ave"""	Cleveland	OH	44178	41.51044	-81.669649	3.5	3	0	Restaurants;Soul Food
43716	uaZYhzg1jcmTrRIeNqHISA	"""Buffet House"""		"""Mayland Shopping Center, 5866 Mayfield Rd"""	Mayfield Heights	OH	44124	41.5197722083	-81.4679735899	3.0	8	0	Buffets;Chinese;Japanese;Restaurants
43745	siw1gxAKVal2hNGNlaAh9A	"""Apple Heating & Cooling"""		"""1363 E 286th St"""	WICKLIFFE	OH	44092	41.6011146	-81.4872924	2.5	3	0	Appliances;Shopping;Plumbing;Home & Garden;Heating & Air Conditioning/HVAC;Home Services
43776	DjjYhQmIaTpe1ivUSgTFcw	"""CLE Nutrition"""		"""26715 Brookpark Rd Ext"""	North Olmsted	OH	44070	41.4203603	-81.9193491	4.5	10	1	Coffee & Tea;Food;Juice Bars & Smoothies
43793	2mroQ_qD_5kLTv88zADnXg	"""McDonald's"""		"""2224 Warrensville Center Rd"""	University Heights	OH	02224	41.499208	-81.536689	2.5	7	1	Restaurants;Fast Food;Burgers
43816	kgMnjojFdS77cUtbR-queQ	"""Mazzola Supply"""		"""1107 E 305th St"""	Wickliffe	OH	44092	41.6234292	-81.459318	5.0	3	1	Shopping;Home & Garden
43832	xiNVGasswdb6huyky-29tA	"""Corks Wine Bar"""		"""4084 Erie St"""	Willoughby	OH	44094	41.6410129	-81.4066446	4.5	19	1	Bars;Wineries;Nightlife;Arts & Entertainment;Food;Wine Bars
43833	UTjiK2348ycmXwabp3KRAg	"""B & L Comics Cards & Nostalgia"""		"""5591 Ridge Rd"""	Cleveland	OH	44129	41.4093583	-81.734485	4.0	3	1	Books;Mags;Music & Video;Comic Books;Shopping
43835	RfM6jDn16Qf8eVz2vJTdbw	"""Henry Wahner's Restaurant & Lounge"""		"""1609 E Main St"""	Kent	OH	44240	41.1544535	-81.33603	3.5	38	1	Steakhouses;Restaurants;German
43862	zcCyxo5SKDnyYdrhuZw8rw	"""A Cupcake A Day..."""		"""115 W Liberty St"""	Medina	OH	44256	41.1392943	-81.8646734	4.5	24	1	Cupcakes;Bakeries;Food
43872	nBZ6A5-ecTFd7s406r6--A	"""Pony Express Pizza"""		"""3031 Graham Rd"""	Stow	OH	44224	41.167492	-81.404971	3.5	11	1	Restaurants;Pizza
43886	SYSHQAyEr2CFKvxPZuixuQ	"""Warren Henry Music"""		"""49 W Orange St, Ste 3"""	Chagrin Falls	OH	44022	41.431451	-81.39409	4.5	3	0	Musical Instruments & Teachers;Shopping
43894	ZYu7RwqxTpmPKTsebfXLAA	"""The Lodge Taproom & Grille"""		"""9632 Page Rd"""	Streetsboro	OH	44241	41.252941	-81.324407	4.0	14	0	Salad;American (Traditional);Bars;Restaurants;Wine Bars;Sandwiches;Nightlife;Burgers
43901	V1ImSt8LvBOUTyhyWaJdPg	"""BVIP Limousine Service Ltd"""		"""887 W Liberty"""	Medina	OH	44256	41.141782	-81.885294	3.5	15	1	Hotels & Travel;Party Bus Rentals;Transportation;Event Planning & Services;Limos;Airport Shuttles
43909	LFh-Ay3bt9pTUNolfLn5gw	"""Buettner's Bakery"""	East 185th	"""704 E 185th St"""	Cleveland	OH	44119	41.5884308	-81.5500445	4.5	12	1	Pizza;Bakeries;Food;Restaurants
43911	oqrUMPH4tXKYnG7jXa6YoQ	"""Famous Hair"""		"""1093 N Court, Medwick Marketplace"""	Medina	OH	44256	41.157036	-81.866016	4.0	5	1	Hair Salons;Hair Stylists;Beauty & Spas
43929	_HqZV2Y9VGPNFbSMNs84bQ	"""Ribsticks BBQ"""		"""13892 Cedar Rd"""	University Heights	OH	44118	41.5009825	-81.5398851	4.0	75	0	Barbeque;Korean;Restaurants
43930	KPlv7uqI9ylL_1Q1k_Fs3g	"""Value City Furniture"""		"""4700 Great Northern Blvd"""	North Olmsted	OH	44070	41.4202416538	-81.9026952718	2.0	11	1	Home & Garden;Furniture Stores;Shopping;Mattresses;Home Decor
43932	5sJiwuUn6rNOl1082pNeHQ	"""Dynamic Fitness"""		"""16611 Southpark Ctr"""	Strongsville	OH	44136	41.309288	-81.815543	4.5	9	0	Fitness & Instruction;Gyms;Health & Medical;Trainers;Active Life;Nutritionists
43943	ofa-Qt3Cx8X5h-L5A5SADg	"""Tomaydo Tomahhdo"""		"""1261 Som Center Rd"""	Mayfield Heights	OH	44124	41.5261669	-81.4387442	3.5	8	0	Sandwiches;Restaurants;Pizza
43953	jAX22KspIfGxTPJOHZo3mQ	"""Northern Lights Limo"""		"""8556 Appaloosa Trl"""	Kirtland	OH	44094	41.5766475	-81.3377131	5.0	3	1	Limos;Hotels & Travel;Party Bus Rentals;Event Planning & Services;Transportation
43962	_C1g3fB6g9bOumBpMt0wkA	"""Synergy Fx Total Fitness"""		"""6624 Engle Rd"""	Middleburg Heights	OH	44130	41.3881769417	-81.8243255239	5.0	3	1	Active Life;Gyms;Trainers;Fitness & Instruction
43985	gONhbdPDTXRfauqR7Qoocg	"""Gentile Brothers Upholstery"""		"""2550 Noble Rd"""	Cleveland	OH	44121	41.532095	-81.543698	1.0	3	1	Furniture Reupholstery;Local Services
43989	4CGJC9GPTjEM1bfy5Ya4VA	"""Brunswick Family Health Center - Cleveland Clinic"""		"""3574 Center Rd"""	Brunswick	OH	44212	41.2376155	-81.8149446	5.0	3	1	Medical Centers;Doctors;Cardiologists;Neurologist;Family Practice;Health & Medical
43997	Y12k9hJS8BPo-lAgjvtdNw	"""Pita Pit"""		"""7519 Mentor Ave, Unit 12"""	Mentor	OH	44060	41.6560455	-81.3729675	4.5	4	1	Fast Food;Mediterranean;Restaurants;Sandwiches
44030	m8kemMCoM5olKayRvkSenQ	"""Brady & Henderson Inspections"""		"""7079 Navajo Trl"""	Solon	OH	44139	41.366886	-81.435095	3.5	3	1	Home Inspectors;Home Services
44066	bT09aSXb29L4EtEnkHrIHw	"""Dana Lauren Salon & Spa"""		"""8076 Broadview Rd"""	Broadview Heights	OH	44147	41.3461094	-81.6856709	4.0	5	1	Day Spas;Beauty & Spas;Hair Salons;Nail Salons;Massage;Hair Stylists
44074	ltec6XSWhDyvD2Dv-T3gAA	"""Papa Johns"""		"""5332 Warrensville Ctr Rd"""	Maple Heights	OH	44137	41.41499402	-81.537569405	1.0	3	1	Pizza;Restaurants
44078	bbgyhsPu1oJcAXRPowuEwQ	"""Falls Heating & Cooling"""		"""461 Munroe Falls Ave"""	Cuyahoga Falls	OH	44221	41.140097	-81.476223	2.5	5	1	Plumbing;Home Services;Heating & Air Conditioning/HVAC
44079	jRAUH6Ypc_2rX_nh3NMqcQ	"""Otani Japanese Restaurant"""		"""1625 Golden Gate Plz"""	Cleveland	OH	44124	41.5162091938	-81.4503236628	3.0	76	1	Sushi Bars;Restaurants;Japanese
44082	PqK2XJYjqTtwMj8WQ4e88w	"""Cortina's Family Restaurant"""		"""22681 Euclid Ave"""	Euclid	OH	44117	41.5736815	-81.523593	4.0	8	1	Restaurants
44093	D0EZ_Yhq0Ot3LDzU-ve-tg	"""Rookies Sports Bar & Grill"""		"""6913 West 130th St"""	Parma Heights	OH	44130	41.3770487	-81.7837102	3.5	3	1	Bars;Nightlife
44106	CikuTcu41X3UZsp8YjCjSQ	"""Vita Urbana"""	Detroit-Shoreway	"""1200 W 76th St"""	Cleveland	OH	44102	41.4865305	-81.737737923	4.0	21	1	Food;Specialty Food;Nightlife;Restaurants;Convenience Stores;American (New);Bars;Gastropubs
44121	lJVfD0XZM2GZBbtuVaMqtA	"""Eclectic Home"""		"""18508 Detroit Ave"""	Cleveland	OH	44107	41.4822599	-81.8271029	5.0	4	1	Shopping;Home & Garden;Home Decor
44149	tn_j1q3vvDfGB178efSY4Q	"""Hampton Inn"""		"""4860 Brecksville Rd"""	Richfield	OH	44286	41.2665106	-81.6295471	3.0	11	1	Event Planning & Services;Hotels & Travel;Hotels
44150	8lgNW9ts-KfWUi8Akl5Zjw	"""O'Rielly's Pub"""		"""13962 Cedar Rd"""	Cleveland Heights	OH	44118	41.501375	-81.537572	4.0	13	1	Irish Pub;Nightlife;Pubs;Bars
44157	oC5CzTlS1vqbbi4k-E4RKQ	"""Ray's Indoor Mountain Bike Park"""	West Boulevard	"""9801 Walford Ave"""	Cleveland	OH	44102	41.454648	-81.751397	5.0	23	1	Bike Rentals;Sporting Goods;Bikes;Shopping;Active Life
44160	ZRXL5kBWxRcGmgImzKq4QQ	"""Scorchers Casual Eatery & Draft House"""		"""5039 Westlawn Rd"""	Cleveland	OH	44128	41.423108	-81.5097337	3.0	12	1	Restaurants;Food;American (New);Nightlife;Bars
44168	WYhmqVAWZEK6Xz8O1kMSHw	"""RJ Boland's"""	Gateway District	"""724 Prospect Ave"""	Cleveland	OH	44115	41.498398	-81.687446	2.0	4	0	Restaurants;American (New)
44171	J4F3-Ge15fKTasgJVuMLNw	"""Papa John's Pizza"""		"""4260 Center Rd"""	Brunswick	OH	44212	41.2378248	-81.8392324	3.5	3	1	Restaurants;Pizza
44196	565uVvO-hFqbajFNkt0hnw	"""Longhitano's Gallery Pub & Grille"""		"""1255 W Main St"""	Kent	OH	44240	41.1520515	-81.388374	3.5	17	1	Restaurants;Italian;Pubs;Bars;American (New);Nightlife
44246	--I7YYLada0tSLkORTHb5Q	"""Happy Moose Bar and Grill"""		"""9436 State Rte 14"""	Streetsboro	OH	44241	41.2428401	-81.3526837	3.5	72	1	Restaurants;Sports Bars;American (Traditional);Nightlife;Bars
44258	Ur4WVTUfMrTMW-yVsREEvA	"""Ticket To Tokyo"""	Civic Center	"""55 Public Square, Ste 107"""	Cleveland	OH	44113	41.5000150052	-81.6961459621	4.0	15	0	Restaurants;Japanese
44277	SsUO-GZOhra8yCt5xwM_zg	"""Absolute Pest Control"""		"""9189 Darrow Rd"""	Twinsburg	OH	44087	41.3157398	-81.4398809	5.0	3	1	Local Services;Pest Control
44310	U6P8exGJ-HQrn4p-tIn9pA	"""Goodwill Industries of Greater Cleveland and East Central Ohio"""		"""2720 Van Aken Blvd"""	Cleveland	OH	44120	41.4833473	-81.5890617	3.0	5	1	Local Services;Used;Vintage & Consignment;Fashion;Thrift Stores;Shopping;Community Service/Non-Profit
44332	4Nlz5yIdHDjBg6Hzos0HoA	"""Red's Catering"""		"""2071 Midway Dr"""	Twinsburg	OH	44087	41.2847462774	-81.4410142888	4.0	3	1	Soup;Sandwiches;Breakfast & Brunch;Caterers;Event Planning & Services;Buffets;Salad;Restaurants
44368	IjEX9xqyfmF79Np5CZoFyQ	"""Art of Beauty"""		"""200 Egbert Rd"""	Bedford	OH	44146	41.3777277	-81.535673	3.5	3	1	Cosmetics & Beauty Supply;Shopping;Beauty & Spas
44372	WiQb199J8wKuS4l37xp0vA	"""Gas City Gas & Convenience Store"""	Tremont	"""3074 W 14th St"""	Cleveland	OH	44113	41.470317	-81.691717	4.0	4	1	Food;Convenience Stores
44373	cUAulV1C6H-eCNdgXTC_5w	"""A Cookie & A Cupcake Boutique"""	Tremont	"""2173 Professor Ave"""	Cleveland	OH	44113	41.4823086	-81.6873384	4.0	98	0	Ice Cream & Frozen Yogurt;Cupcakes;Bakeries;Food
44374	b4LxjVnFdOCqRKxfweaTqw	"""Namaste India Garden"""		"""14412 Detroit Ave"""	Lakewood	OH	44107	41.4855287	-81.7951881	4.5	151	1	Indian;Restaurants
44376	NZsh2M4LXKUwz5a6EuXy4w	"""Burlington Coat Factory"""		"""25859 Great Northern Shop Ctr"""	North Olmsted	OH	44070	41.419087	-81.915194	3.0	9	1	Shopping;Fashion
44378	LLbBc_bjsVLI2Zb3cnKPHw	"""Regis Salon"""		"""3265 W Market St, Summit Mall"""	Fairlawn	OH	44333	41.133319	-81.616275	2.5	5	0	Hair Salons;Barbers;Beauty & Spas
44457	RFCRXj_SU_2yKoJYKIIywA	"""Pancho & Lefty's"""		"""3254 Kent Rd"""	Stow	OH	44224	41.1580078	-81.4435652	3.5	40	1	Mexican;Restaurants;Soup;Salad
44466	ELbc-hl-ACPwGTNMtm7izw	"""Marty's Bike Shop"""		"""3253 Kent Rd"""	Stow	OH	44224	41.158574	-81.444094	5.0	4	1	Bikes;Sporting Goods;Shopping
44524	aZ_w6VocjL5jNBHwpWphTA	"""Twinsburg Veterinary Hospital & Pet Lodge"""		"""8803 Ravenna Rd"""	Twinsburg	OH	44087	41.297688	-81.410963	3.5	8	1	Pet Services;Pet Sitting;Pets;Veterinarians
44528	F5Mh9ufSdE1P8ZZk6wzn4w	"""Zeppe's Pizzeria"""		"""8235 Washington St"""	Chagrin Falls	OH	44023	41.4154521	-81.3478784	3.5	3	1	Event Planning & Services;Italian;Caterers;Pizza;Restaurants;Wraps;Chicken Wings
44562	JHbVBjo9HYI2kzWJzQ9gaA	"""Lost Nation Sports Park"""		"""38630 Jet Center Pl"""	Willoughby	OH	44094	41.6853849	-81.395588	3.5	9	1	American (Traditional);Sports Clubs;Leisure Centers;Recreation Centers;Active Life;Restaurants
44564	sJV94ObovJGTZIA_nWQzsQ	"""The Dog House"""		"""589 Broadway Ave"""	Bedford	OH	44146	41.394039	-81.53784	4.5	21	1	Restaurants;American (Traditional)
44579	QKzYDllOMnIsIyc_u-i9-A	"""Jonesy's Classic Cleaners"""		"""1033 S Court St"""	Medina	OH	44256	41.1201959	-81.8649687	3.5	3	1	Dry Cleaning & Laundry;Laundry Services;Local Services
44590	ESCeeLwhOSZ1ketQn1nq8A	"""Kim Se Cambodian Cuisine"""	Ohio City	"""1979 W 25th St, Ste A10"""	Cleveland	OH	44113	41.4846863	-81.7030619	4.5	13	1	Thai;Restaurants;Cambodian
44593	1zI3trw5QLNdypXBfudh0w	"""Marsella's Pizza"""		"""7425 York Rd"""	Cleveland	OH	44130	41.3633332	-81.7592116	4.0	9	1	Restaurants;Pizza
44594	n-Muw3wnU-INyXkgPtZVVg	"""Peachtree Southern Kitchen & Cocktails"""		"""200 North Main St"""	Hudson	OH	44236	41.242705	-81.440705	3.5	116	1	Nightlife;Food;Bars;Restaurants;American (New);Cocktail Bars
44619	es9cTrCc2UYoU9ESP9_PUg	"""LasikPlus Vision Center"""		"""6800 Rockside Rd, Unit A"""	Independence	OH	44131	41.3940035	-81.6424931	5.0	13	1	Ophthalmologists;Doctors;Optometrists;Health & Medical;Laser Eye Surgery/Lasik
44662	mxN4WczNOIfChrLmJdUrKA	"""Supreme Clean"""		""""""	Tallmadge	OH	44278	41.1014451	-81.441779	3.5	7	1	Car Wash;Automotive;Auto Detailing
44712	k6Az9d7_eUG68TwwjBsuOg	"""Chick-fil-A"""		"""35441 Euclid Ave"""	Willoughby	OH	44094	41.626356	-81.435396	4.5	15	1	Fast Food;Chicken Wings;Restaurants;Event Planning & Services;Caterers;Food
44716	RGEcWqzrCR83HSkWiXIV8A	"""Willowick Restaurant & Lounge"""		"""30609 Euclid Ave"""	Wickliffe	OH	44092	41.621099	-81.452957	4.0	4	1	Bars;Lounges;Restaurants;American (Traditional);Nightlife
44721	sWyGwwim1udhyZRCv3OyTw	"""Get Go Fuel Station"""		"""4955 E Royalton Rd"""	Broadview Heights	OH	44147	41.3153951615	-81.6521964222	3.5	8	1	Food;Automotive;Gas Stations;Convenience Stores
44723	I2HLOJaQ7EURVY2U4HEMVg	"""Scene75 Entertainment Center"""		"""3688 Center Rd"""	Brunswick	OH	44212	41.2366079	-81.818474	4.0	7	1	Bowling;Arts & Entertainment;Active Life;Amusement Parks;Arcades;Laser Tag
44739	RIbqnlxb8qz-f7l_41icpg	"""Kent Floral Co."""		"""1109 S Water St"""	Kent	OH	44240	41.1433591	-81.3578619	3.5	6	1	Flowers & Gifts;Home & Garden;Nurseries & Gardening;Shopping;Florists
44783	E-E958iV_qnJ65mu6VpSTA	"""Nola True"""		"""15 N Franklin St"""	Chagrin Falls	OH	44022	41.4304569	-81.392213	5.0	3	1	Shopping;Fashion;Women's Clothing
44785	2lcK3d4K7FU6O8wXdWzOmA	"""Cabin Club"""		"""30651 Detroit Rd"""	Westlake	OH	44145	41.4605556	-81.958732	4.0	116	1	American (New);Nightlife;Restaurants;Bars;Steakhouses
44788	-I1Wu0EfAeMC6ZhppNffbQ	"""Portrait Innovations"""		"""1249 Som Center Rd"""	Mayfield Heights	OH	44124	41.5263148	-81.4375891	2.5	9	1	Shopping;Photographers;Photography Stores & Services;Event Planning & Services
